HID,Title,X,Y,Realm_Mode,NonTree_Mean,Bare_Mean,Tree_Mean,Density_Mean,Elevation_Mean,KoppenGeiger_Mode,AnnualPET_Mean,AridityIndexThornthwaite_Mean,ClimaticMoistureIndex_Mean,Continentality_Mean,EmbergerQ_Mean,GrowingDegDays0_Mean,GrowingDegDays5_Mean,MaxTempColdest_Mean,MinTempWarmest_Mean,MonthCountByTemp10_Mean,PETColdestQuarter_Mean,PETDriestQuarter_Mean,PETSeasonality_Mean,PETWarmestQuarter_Mean,PETWettestQuarter_Mean,ThermicityIndex_Mean,BIO01_Mean,BIO02_Mean,BIO03_Mean,BIO04_Mean,BIO05_Mean,BIO06_Mean,BIO07_Mean,BIO08_Mean,BIO09_Mean,BIO10_Mean,BIO11_Mean,BIO12_Mean,BIO13_Mean,BIO14_Mean,BIO15_Mean,BIO16_Mean,BIO17_Mean,BIO18_Mean,BIO19_Mean,NPPt,NPPp,NPP,Invertivores..1kg,Invertivores.1.10kg,Invertivores..10kg,Herbivores..1kg,Herbivores.1.10kg,Herbivores.10.44kg,Herbivores.44.100kg,Herbivores.100.500kg,Herbivores.500.1000kg,Herbivores..1000kg,Omnivores..1kg,Omnivores.1.10kg,Omnivores..10kg,Carnivores..1kg,Carnivores.1.10kg,Carnivores.10.44kg,Carnivores.44.100kg,Carnivores..100kg
La Venta Mammals + Langstonia (energy corrected),La Venta Mammals + Langstonia (energy corrected),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3,0,13,16,7,2,4,3,4,1,2,0,0,1,2,2,0
La Venta Mammals + Langstonia,La Venta Mammals + Langstonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3,0,13,16,7,2,4,3,4,1,2,0,0,1,2,1,1
La Venta Mammals,La Venta Mammals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3,0,13,16,7,2,4,3,4,1,2,0,0,1,2,1,0
17460,Extant,-108.980888,27.41659,Neotropic,70.25518,13.18941,16.55541,3.294765,423.01522,BSh,1946.913871,70.888309,-0.633609,13.469852,75.864634,102441.8367,102441.8367,254.213436,212.332313,12,100.475287,194.603609,5102.536588,209.073333,188.03674,568.300716,23.415862,17.72644,57.32633,485.73426,38.857756,7.9586,30.899156,28.339527,22.777539,29.113273,17.392634,694.32365,191.289082,5.189808,113.10487,484.836003,23.080885,408.693949,88.84754,2439.850156,1108.100435,1108.100435,31,2,0,29,4,2,3,4,0,2,13,1,0,3,7,3,2,4
17622,Extant,-108.683532,26.967523,Neotropic,69.629051,10.641477,19.729472,7.11793,597.765065,BSh,1878.473352,72.719584,-0.605471,12.545168,82.503759,98196.14225,98196.14225,250.053349,198.4237,12,100.149761,189.898895,4709.15434,196.780912,176.026097,551.228052,23.342034,16.953556,58.305829,446.517035,37.919622,8.845099,29.074522,27.709601,22.865958,28.518854,17.784629,734.531747,199.012234,4.080825,110.960262,504.442413,23.507196,433.818493,94.203754,2435.836794,1157.942398,1157.942398,31,2,0,29,4,2,3,4,0,2,13,1,0,3,7,3,2,4
17703,Extant,-108.917868,26.529999,Neotropic,74.165303,15.736541,10.098156,8.969653,144.823348,BSh,1948.546485,74.627667,-0.743763,13.151345,55.794114,104533.9413,104533.9413,264.073776,236.026631,12,106.202627,197.456167,4651.549462,198.893531,183.992333,587.669176,24.570938,16.468492,56.41928,485.992333,39.061283,9.868565,29.192718,29.79573,23.496021,30.222643,18.55137,524.444034,152.370388,1.150682,116.82057,379.617633,10.268757,301.368451,64.849147,2499.793178,882.1922995,882.1922995,28,3,0,30,4,2,1,3,0,1,10,1,0,3,7,3,2,3
17704,Extant,-108.152739,26.954908,Neotropic,60.963536,11.781173,27.255291,4.274775,996.952673,Cwa,1805.750739,70.950528,-0.504837,12.463423,100.035143,91702.68792,91702.68792,237.156916,186.5874,11.866144,96.912231,182.085182,4462.283759,188.419851,169.257052,508.123363,22.456094,17.030861,58.522208,442.831557,37.02741,7.925343,29.102068,26.616827,22.248145,27.465344,16.87622,878.578037,224.446065,6.510779,100.022003,558.640287,36.219137,499.499205,126.716723,2385.949461,1325.965683,1325.965683,31,2,0,29,4,2,3,4,0,2,13,1,0,3,7,3,2,4
17785,Extant,-108.388342,26.517991,Neotropic,71.57949,12.769124,15.651386,19.833394,380.84577,BSh,1953.287203,74.014027,-0.605745,12.630293,84.691351,103080.572,103080.572,266.664509,213.374771,12,107.477147,199.309595,4638.483447,199.729209,179.442911,582.913749,24.13825,17.892706,60.122843,450.222639,38.857687,9.092402,29.765285,28.598342,23.473129,29.319104,18.509055,755.811926,203.048824,3.068381,111.470099,521.17931,20.53019,445.186195,94.531287,2477.962175,1183.787716,1183.787716,28,3,0,30,4,2,1,3,0,1,10,1,0,3,7,3,2,3
17864,Extant,-109.383656,25.656014,Neotropic,58.13961,30.829517,11.030874,21.40282,-247.316152,BWh,1882.308934,83.898651,-0.838892,13.103513,36.75453,105936.3198,105936.3198,263.242066,247.32664,12,105.458963,202.729392,4152.511605,180.760031,180.760031,602.588136,24.794925,12.653839,50.367858,478.249268,37.386635,12.325224,25.061411,30.500018,23.28877,30.500018,18.976839,326.93634,93.125017,0.98095,112.804752,223.915823,3.98095,223.915823,44.632966,2510.80441,585.4171026,585.4171026,22,2,0,21,3,2,2,1,0,1,8,0,0,2,6,1,2,1
17865,Extant,-108.623015,26.081416,Neotropic,72.081774,13.706963,14.211262,20.588946,156.988676,BSh,1946.465698,75.311125,-0.70334,12.663755,65.790262,105010.8857,105010.8857,269.183446,234.008185,12,109.364772,196.69706,4387.882851,197.717069,180.296825,594.395173,24.703526,16.926243,58.217875,466.661104,39.23443,10.141509,29.092921,29.732341,23.526621,30.110938,18.930364,558.539924,161.640004,1.207884,119.415574,411.527572,9.141351,318.513801,65.140683,2506.334974,929.6000956,929.6000956,28,3,0,30,4,2,1,3,0,1,10,1,0,3,7,3,2,3
17947,Extant,-108.095214,26.06798,Neotropic,70.659672,8.807372,20.532955,7.268341,487.690584,Cwa,1905.801076,74.245787,-0.539494,12.040861,100.544926,101356.9918,101356.9918,263.150297,210.503291,12,107.074842,195.301568,4358.074218,192.653301,173.166334,576.049386,23.71081,16.479788,60.204784,418.386476,37.326301,9.941497,27.384804,27.894231,22.987319,28.512822,18.484293,860.278766,230.822703,3.96384,112.417492,597.592512,22.983515,504.38437,100.486407,2455.664277,1305.500888,1305.500888,28,3,0,30,4,2,1,3,0,1,10,1,0,3,7,3,2,3
18028,Extant,-108.330138,25.632316,Neotropic,72.599106,21.439364,5.96153,107.875645,42.679527,BSh,1938.552214,74.844973,-0.745548,11.971935,59.364672,107762.2349,107762.2349,277.325903,242.073403,12,112.443857,195.091896,4050.997649,189.799235,177.450022,619.759926,24.687907,16.461395,57.059343,478.163415,39.144278,10.303385,28.840893,29.977414,23.106558,30.114932,18.7953,597.84196,165.634968,1.741528,117.084622,433.945289,10.890576,382.152427,59.482324,2505.567929,982.9314849,982.9314849,24,3,0,28,4,2,1,1,0,1,8,0,0,2,7,3,2,2
